time_sec,condition,raw_bpm,smoothed_bpm,heart_interval_sec,heart_scale,stimulus_bpm,stimulus_interval_sec,send_sound_to_sc
0.8350241184234619,heart_1.00x,82,82.0,0.7317073170731707,1.0,82.0,0.7317073170731707,False
1.8545551300048828,heart_1.00x,79,81.55,0.7357449417535254,1.0,81.55,0.7357449417535254,False
2.8137271404266357,heart_1.00x,77,80.86749999999999,0.7419544316319907,1.0,80.86749999999999,0.7419544316319907,False
3.892620086669922,heart_1.00x,77,80.28737499999998,0.7473155025930293,1.0,80.28737499999998,0.7473155025930293,False
4.853585720062256,heart_1.00x,77,79.79426874999999,0.7519337032586066,1.0,79.79426874999999,0.7519337032586066,False
5.81137228012085,heart_1.00x,76,79.22512843749999,0.7573354715017404,1.0,79.22512843749999,0.7573354715017404,False
6.893658399581909,heart_1.00x,76,78.74135917187499,0.7619883709275739,1.0,78.74135917187499,0.7619883709275739,False
7.85396409034729,heart_1.00x,75,78.18015529609374,0.7674581838928362,1.0,78.18015529609374,0.7674581838928362,False
8.814072608947754,heart_1.00x,75,77.70313200167968,0.7721696468902052,1.0,77.70313200167968,0.7721696468902052,False
9.893285751342773,heart_1.00x,75,77.29766220142773,0.7762201118534187,1.0,77.29766220142773,0.7762201118534187,False
10.854289293289185,heart_1.00x,77,77.25301287121356,0.7766687378267616,1.0,77.25301287121356,0.7766687378267616,False
11.813708782196045,heart_1.00x,78,77.36506094053152,0.7755438859683755,1.0,77.36506094053152,0.7755438859683755,False
12.893518447875977,heart_1.00x,80,77.7603017994518,0.7716019435565384,1.0,77.7603017994518,0.7716019435565384,False
13.8539719581604,heart_1.00x,82,78.39625652953403,0.765342666296781,1.0,78.39625652953403,0.765342666296781,False
14.813392877578735,heart_1.00x,83,79.08681805010393,0.7586599319495716,1.0,79.08681805010393,0.7586599319495716,False
15.893689393997192,heart_1.00x,83,79.67379534258833,0.7530706895787601,1.0,79.67379534258833,0.7530706895787601,False
16.853378534317017,heart_1.00x,83,80.17272604120008,0.7483841820367504,1.0,80.17272604120008,0.7483841820367504,False
18.052877187728882,heart_1.00x,84,80.74681713502007,0.7430633445238038,1.0,80.74681713502007,0.7430633445238038,False
18.892321586608887,heart_1.00x,84,81.23479456476704,0.7385997628413165,1.0,81.23479456476704,0.7385997628413165,False
19.853917360305786,heart_1.00x,84,81.64957538005199,0.7348476672501931,1.0,81.64957538005199,0.7348476672501931,False
20.81386947631836,heart_1.00x,85,82.15213907304418,0.7303522546948171,1.0,82.15213907304418,0.7303522546948171,False
21.893296003341675,heart_1.00x,85,82.57931821208756,0.7265741749756599,1.0,82.57931821208756,0.7265741749756599,False
22.853684902191162,heart_1.00x,85,82.94242048027442,0.7233934053596779,1.0,82.94242048027442,0.7233934053596779,False
23.814869165420532,heart_1.00x,85,83.25105740823325,0.7207115665303995,1.0,83.25105740823325,0.7207115665303995,False
24.893569707870483,heart_1.00x,85,83.51339879699826,0.7184475888215986,1.0,83.51339879699826,0.7184475888215986,False
25.85279417037964,heart_1.00x,84,83.58638897744851,0.7178202185069619,1.0,83.58638897744851,0.7178202185069619,False
26.81396794319153,heart_1.00x,83,83.49843063083124,0.7185763797798302,1.0,83.49843063083124,0.7185763797798302,False
27.894383907318115,heart_1.00x,83,83.42366603620655,0.7192203705595904,1.0,83.42366603620655,0.7192203705595904,False
28.85212731361389,heart_1.00x,83,83.36011613077557,0.7197686709777592,1.0,83.36011613077557,0.7197686709777592,False
29.814099073410034,heart_1.00x,83,83.30609871115924,0.7202353840627364,1.0,83.30609871115924,0.7202353840627364,False
30.893821477890015,heart_1.00x,82,83.11018390448535,0.7219331877421327,1.0,83.11018390448535,0.7219331877421327,False
32.09392166137695,heart_1.00x,82,82.94365631881254,0.7233826269892968,1.0,82.94365631881254,0.7233826269892968,False
32.814069986343384,heart_1.00x,82,82.80210787099065,0.7246192342528605,1.0,82.80210787099065,0.7246192342528605,False
33.8936493396759,heart_1.00x,82,82.68179169034205,0.7256736794566647,1.0,82.68179169034205,0.7256736794566647,False
34.85339379310608,heart_1.00x,82,82.57952293679074,0.7265723737097162,1.0,82.57952293679074,0.7265723737097162,False
35.81282925605774,heart_1.00x,80,82.19259449627212,0.7299927732871521,1.0,82.19259449627212,0.7299927732871521,False
